Id,SalePrice
1461,125127.92
1462,154777.72
1463,176080.97
1464,191388.05
1465,194967.47
1466,173465.14
1467,171557.12
1468,171301.1
1469,190609.23
1470,125740.375
1471,194255.38
1472,98253.62
1473,105342.44
1474,153252.02
1475,148521.36
1476,342072.62
1477,261044.94
1478,300156.94
1479,182912.03
1480,545469.2
1481,302721.78
1482,205164.6
1483,169532.42
1484,164383.53
1485,170441.52
1486,195195.22
1487,335917.0
1488,231741.8
1489,203024.44
1490,209794.3
1491,181531.75
1492,86675.65
1493,187950.05
1494,278400.4
1495,295111.25
1496,240906.08
1497,183141.86
1498,159534.52
1499,158574.6
1500,157064.73
1501,178165.77
1502,157069.42
1503,303649.06
1504,222839.89
1505,228175.97
1506,199811.03
1507,235502.11
1508,201510.94
1509,161333.55
1510,145410.83
1511,144712.55
1512,169615.61
1513,161444.3
1514,151064.22
1515,195238.73
1516,156409.86
1517,153882.11
1518,114663.336
1519,224319.11
1520,138134.81
1521,141390.0
1522,169448.64
1523,113790.984
1524,119372.42
1525,127657.805
1526,116553.36
1527,98625.89
1528,136403.73
1529,148108.84
1530,179174.97
1531,118055.98
1532,100415.04
1533,134185.72
1534,120055.53
1535,153587.23
1536,115204.6
1537,72040.46
1538,179363.47
1539,183608.52
1540,100583.27
1541,144019.88
1542,135213.3
1543,211207.6
1544,81072.484
1545,109795.414
1546,124842.71
1547,141144.34
1548,136007.1
1549,125688.44
1550,150709.61
1551,107404.695
1552,147215.97
1553,150817.95
1554,111990.03
1555,159383.78
1556,90506.15
1557,113962.76
1558,92353.24
1559,103480.22
1560,138041.52
1561,149344.92
1562,125898.36
1563,124081.234
1564,164405.4
1565,143954.83
1566,235728.08
1567,72579.07
1568,233101.84
1569,142671.86
1570,121300.45
1571,137892.67
1572,151362.64
1573,238501.75
1574,95764.54
1575,222091.92
1576,227656.06
1577,196483.6
1578,144382.75
1579,149043.03
1580,188498.1
1581,137475.89
1582,129847.05
1583,318294.7
1584,233203.69
1585,142721.0
1586,73789.31
1587,93003.76
1588,151445.83
1589,92438.62
1590,133692.98
1591,103942.49
1592,124718.836
1593,125601.984
1594,145111.27
1595,105734.13
1596,249442.52
1597,150832.7
1598,209837.77
1599,190530.97
1600,177891.92
1601,74301.0
1602,105735.62
1603,87609.39
